Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated robbery rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1972,          68.6,          66.5,         120.8,          54.8,         238.6,         141.4,          79.1,         130.1,         189.4,         134.3,          55.4,          20.6,         260.1,         111.1,          26.7,          68.9,          83.2,         133.4,          21.1,         324.1,         152.8,         289.3,          84.4,          39.9,         175.6,          33.2,          52.7,         190.1,          13.4,         210.1,         121.6,         470.4,          66.2,           8.9,         160.6,          64.6,         109.5,         149.3,          81.7,          66.1,          15.6,         101.1,         120.3,          62.3,          10.6,         113.5,          87.6,          31.6,          36.7,          33.9
1973,          79.4,          67.0,         147.3,          71.5,         240.4,         162.9,          84.2,          90.3,         222.3,         158.1,          83.7,          26.9,         272.8,         108.8,          32.9,          78.1,          85.1,         138.6,          20.7,         301.6,         182.0,         282.7,          88.7,          46.8,         193.4,          36.3,          62.5,         262.0,          13.3,         206.2,         128.8,         442.3,          71.4,           7.3,         143.5,          68.2,          99.4,         138.6,          97.0,          79.2,          24.7,         130.5,         144.6,          62.6,           8.8,         104.8,          96.3,          27.9,          48.7,          32.9
1974,          99.6,          88.4,         204.2,          80.7,         252.7,         165.7,          92.3,         127.9,         275.2,         176.5,         121.6,          37.9,         313.4,         134.4,          48.7,         107.8,          92.3,         156.3,          27.9,         360.6,         212.4,         337.2,         104.1,          48.0,         216.7,          35.6,          91.0,         277.8,          25.9,         216.6,         124.6,         479.3,          92.3,          12.9,         191.2,          83.5,         130.8,         159.5,          91.0,         127.4,          20.4,         157.2,         164.0,          75.8,          13.8,         127.4,         115.5,          35.2,          66.3,          42.6
1975,         123.0,         129.5,         170.0,          87.6,         282.4,         174.1,         131.5,         157.2,         239.7,         166.5,         127.6,          42.0,         325.8,         156.8,          53.5,          92.8,         103.2,         153.1,          36.4,         344.2,         227.0,         353.1,         103.6,          54.6,         244.7,          41.4,          90.4,         302.5,          28.9,         222.6,         126.7,         516.0,          82.2,          14.3,         220.0,          90.2,         130.3,         168.6,          95.9,         110.9,          31.0,         166.8,         164.1,          79.0,          15.7,         138.5,         124.0,          45.5,          73.4,          49.5
1976,          96.0,         124.9,         129.9,          76.7,         275.6,         139.7,         122.9,         128.7,         186.4,         142.4,         133.0,          40.0,         287.1,         128.8,          41.1,          85.8,          98.7,         124.3,          37.9,         295.5,         180.2,         332.6,          80.4,          64.1,         204.1,          35.6,          63.0,         294.9,          24.8,         200.3,         124.7,         529.3,          70.6,          16.2,         183.8,          70.3,         132.7,         138.0,          91.0,         105.7,          23.2,         147.5,         139.0,          69.4,          17.9,         108.2,         119.5,          38.0,          59.3,          29.2
1977,          96.8,          96.8,         138.2,          83.2,         287.0,         170.7,         129.5,         157.0,         187.9,         140.5,         128.0,          39.6,         280.3,         123.2,          41.2,         100.7,          81.1,         142.9,          38.7,         292.1,         169.9,         261.9,          85.9,          65.7,         189.0,          39.2,          64.7,         323.1,          23.2,         180.4,         109.6,         472.6,          61.3,          13.3,         190.5,          73.8,         124.1,         130.3,          86.5,         105.9,          17.9,         145.8,         152.4,          68.8,          30.8,          92.1,         106.2,          42.2,          52.2,          39.7
1978,          99.1,          91.3,         162.9,          80.0,         306.1,         159.2,         154.8,         145.5,         206.0,         166.3,         173.6,          40.0,         292.9,         121.4,          46.9,          93.7,          81.3,         173.7,          32.9,         309.6,         172.3,         219.3,          85.1,          70.2,         184.0,          36.8,          64.9,         359.5,          26.3,         192.6,         111.6,         472.1,          65.9,          15.6,         182.6,          88.3,         131.1,         136.7,          98.2,         101.3,          15.9,         152.4,         164.4,          66.5,          14.4,          97.1,         125.0,          46.3,          49.9,          48.1
1979,         109.5,         109.6,         175.7,          74.6,         333.8,         157.0,         193.3,         129.4,         249.4,         213.7,         184.5,          43.3,         321.1,         132.7,          50.2,         102.3,          92.1,         219.4,          31.8,         331.2,         203.2,         219.6,          92.5,          70.7,         210.9,          33.1,          73.5,         407.5,          28.6,         250.0,         121.0,         529.6,          77.2,           9.9,         194.8,         102.6,         130.6,         152.2,         109.7,         107.6,          20.3,         166.1,         191.8,          77.7,          28.6,         111.6,         120.7,          43.9,          60.5,          42.2
1980,         132.1,          81.8,         193.6,          80.9,         384.2,         160.1,         218.0,         137.0,         355.5,         197.6,         190.2,          46.8,         367.0,         141.4,          54.9,         113.1,          95.2,         197.0,          30.8,         392.7,         235.5,         244.0,          99.1,          81.0,         223.6,          34.0,          82.2,         460.6,          42.0,         303.7,         127.9,         641.3,          82.3,           7.7,         223.7,         104.9,         152.4,         177.9,         118.6,         118.1,          20.1,         180.6,         208.5,          80.2,          38.9,         120.1,         135.1,          48.5,          70.7,          44.4
1981,         126.5,         114.6,         177.6,          77.4,         388.2,         159.5,         246.1,         141.1,         348.9,         196.4,         148.4,          37.7,         373.2,         129.0,          53.6,         109.7,         100.7,         202.0,          32.5,         424.4,         270.9,         257.5,         104.3,          81.4,         215.2,          38.1,          70.7,         458.0,          35.8,         334.6,         140.8,         684.0,          80.8,          12.9,         236.9,         115.4,         180.6,         186.6,         132.0,         120.2,          17.8,         171.7,         193.3,          84.8,          27.6,         133.2,         130.0,          50.2,          68.6,          41.9
