Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated murder rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1970,          11.7,          12.2,           9.5,          10.1,           6.9,           6.2,           3.5,           7.7,          12.7,          15.3,           3.6,           4.6,           9.6,           4.9,           1.9,           4.8,          11.1,          11.7,           1.5,           9.2,           3.5,           9.4,           2.0,          11.5,          10.7,           3.2,           3.0,           8.8,           2.0,           5.7,           9.6,           7.9,          11.7,            .5,           6.6,           5.9,           4.6,           5.4,           3.2,          14.6,           3.8,           8.8,          11.6,           3.4,           1.3,          10.4,           3.5,           6.2,           2.0,           5.7
1971,          15.1,          13.4,           6.7,          10.5,           8.1,           6.5,           3.1,           6.1,          13.3,          16.0,           5.3,           3.3,           9.6,           5.3,           1.8,           5.1,          10.9,          11.1,           2.0,          11.2,           3.8,          10.5,           2.4,          14.7,           8.9,           4.4,           2.6,          11.4,           2.2,           5.8,          12.0,           9.9,          11.8,           1.3,           7.5,           6.5,           3.2,           6.2,           3.0,          16.6,           1.2,          12.4,          12.1,           2.7,           1.1,          10.1,           3.8,           6.4,           2.8,           5.3
1972,          14.1,           9.5,           7.3,          10.4,           8.8,           8.3,           3.2,           6.9,          12.7,          18.5,           6.8,           3.8,           8.8,           6.1,           1.7,           4.0,           9.8,          13.2,           5.3,          12.5,           3.7,          11.0,           2.4,          15.4,           8.3,           2.5,           2.9,          13.5,           1.7,           6.5,          11.5,          11.0,          13.5,           1.3,           7.5,           7.0,           5.5,           6.0,           1.3,          16.8,           1.2,          11.3,          12.4,           2.9,           1.7,          11.8,           4.2,           6.1,           2.8,           4.1
1973,          13.2,          10.0,           8.1,           8.8,           9.0,           7.9,           3.3,           5.9,          15.4,          17.4,           5.3,           2.6,          10.4,           7.3,           2.2,           6.0,           9.7,          15.4,           2.1,          11.3,           4.4,          12.1,           2.7,          16.1,           9.0,           6.0,           4.3,          12.2,           2.1,           7.4,          11.8,          11.2,          13.0,            .8,           7.3,           6.6,           4.9,           6.3,           3.4,          14.4,           3.8,          13.2,          12.8,           3.2,           2.2,          10.5,           4.0,           5.7,           2.6,           6.8
1974,          15.0,          13.6,           9.6,          11.2,           9.5,           6.0,           3.3,          10.3,          14.7,          17.8,           8.3,           5.6,          11.8,           8.0,           1.9,           6.9,          10.3,          16.0,           2.9,          11.7,           4.4,          13.0,           3.0,          12.9,           9.8,           4.2,           3.6,          14.8,           3.5,           6.8,          11.3,          10.6,          11.7,           1.4,           8.9,           8.1,           5.6,           6.7,           3.8,          16.2,           2.1,          13.4,          13.7,           3.2,           3.4,          10.6,           5.1,           6.0,           3.0,           5.0
1975,          16.0,          12.2,           8.6,          10.1,          10.4,           7.4,           3.9,           7.3,          13.5,          14.4,           7.7,           5.2,          10.6,           8.5,           2.5,           5.4,          10.2,          12.6,           2.8,          10.7,           4.2,          11.9,           3.3,          13.9,          10.6,           5.2,           4.3,          13.0,           2.9,           6.8,          13.3,          11.0,          12.4,            .8,           8.1,           9.4,           6.2,           6.8,           3.0,          14.7,           3.7,          11.4,          13.4,           2.7,           2.1,          11.5,           5.7,           7.4,           3.3,          10.2
1976,          15.1,          11.3,           7.8,          10.1,          10.3,           6.8,           3.1,           6.2,          10.7,          13.9,           6.2,           5.3,          10.3,           7.1,           2.3,           4.5,          10.6,          13.2,           2.7,           8.5,           3.3,          11.1,           2.3,          12.5,           9.3,           5.0,           2.9,          11.5,           3.3,           5.2,           9.7,          10.9,          11.1,           1.4,           7.4,           6.4,           4.2,           6.1,           2.4,          11.6,           1.7,          11.0,          12.2,           4.5,           5.5,           9.5,           4.3,           6.7,           3.0,           6.9
1977,          14.2,          10.8,           9.5,           8.8,          11.5,           6.3,           4.2,           6.0,          10.2,          11.7,           7.2,           5.5,           9.9,           7.4,           2.3,           6.6,          10.1,          15.5,           2.4,           8.0,           3.1,           9.3,           2.7,          14.3,           9.6,           5.4,           3.9,          15.8,           3.2,           5.6,           8.8,          10.7,          10.6,            .9,           7.8,           8.6,           4.9,           5.6,           3.6,          11.9,           2.0,          10.1,          13.3,           3.5,           1.4,           9.0,           4.3,           6.0,           2.8,           5.4
1978,          13.3,          12.9,           9.4,           9.1,          11.7,           7.3,           4.2,           6.7,          11.0,          14.4,           6.7,           5.4,           9.9,           6.2,           2.6,           5.7,           9.0,          15.8,           2.7,           8.2,           3.7,          10.6,           2.0,          12.6,          10.4,           4.8,           3.0,          15.5,           1.4,           5.4,          10.2,          10.3,          10.8,           1.2,           6.9,           8.5,           5.0,           6.2,           4.0,          11.5,           1.9,           9.4,          14.2,           3.7,           3.3,           8.8,           4.6,           6.8,           2.5,           7.1
1979,          13.2,          13.3,           8.9,           9.1,          13.0,           5.8,           4.2,           5.7,          12.2,          17.1,           7.2,           5.4,          10.7,           8.3,           2.2,           5.5,           9.5,          16.9,           2.8,           9.8,           3.7,           9.1,           2.3,          12.6,          11.2,           4.2,           4.1,          17.5,           2.4,           6.6,          12.4,          11.9,          10.7,           1.5,           8.1,           9.7,           4.2,           6.2,           3.2,          12.6,           2.0,           9.8,          16.7,           4.8,           1.4,           8.6,           4.8,           6.8,           3.4,           9.1
