Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated property crime rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960,       1035.4,       1544.9,       2806.0,         926.4,       3235.4,       2035.1,       1119.9,       2076.4,       2481.2,       1249.1,       2276.5,       1732.8,       1976.8,       1469.1,       1100.1,       1336.6,       1115.4,       1342.0,       1158.4,       1518.8,       1170.3,       2441.5,       1424.0,         602.0,       1799.7,       1985.4,       1177.8,       3294.7,         676.4,       1376.5,       2243.6,,         956.0,         876.8,       1475.2,       1918.4,       1907.5,         950.5,       2035.6,       1356.5,       1122.5,       1149.4,       2056.2,       2487.0,         815.9,       1469.2,       2175.5,         656.2,       1113.7,       1814.5
1961,         985.5,       1540.6,       2969.4,         936.9,       3177.5,       2254.7,       1211.1,       2040.0,       2243.3,       1340.5,       2497.7,       1829.8,       2082.3,       1546.8,       1057.6,       1363.6,       1105.4,       1120.7,       1081.1,       1634.4,       1409.7,       2484.7,       1408.2,         629.4,       1885.9,       1954.1,       1240.8,       3436.8,         791.0,       1431.4,       2062.4,,         989.5,         868.3,       1502.7,       1847.1,       1932.1,         949.6,       1833.3,       1448.2,       1103.2,       1160.9,       1970.5,       2047.9,         796.7,       1584.0,       2173.2,         599.2,       1160.3,       1881.1
1962,       1067.0,       1564.6,       3028.1,         998.3,       3326.2,       2510.3,       1301.4,       2165.7,       2345.3,       1394.1,       2509.5,       1895.0,       2162.4,       1713.9,       1117.4,       1501.3,       1235.2,       1194.8,       1163.4,       1736.4,       1567.5,       2553.8,       1498.9,         659.7,       2123.7,       1928.8,       1249.1,       3496.1,         971.5,       1617.7,       2122.9,,       1029.5,         934.4,       1482.9,       1877.4,       1979.8,       1029.9,       1861.5,       1553.2,       1065.2,       1281.4,       1994.4,       2275.6,       1011.3,       1578.9,       2270.1,         682.3,       1149.5,       1564.7
1963,       1150.9,       1952.8,       3200.4,       1073.7,       3545.8,       2530.5,       1532.4,       2288.2,       2571.0,       1517.9,       2511.5,       1829.5,       2255.0,       1947.5,       1156.7,       1559.7,       1345.1,       1385.1,       1142.2,       1981.4,       1659.7,       2748.6,       1640.3,         573.1,       2366.3,       2098.3,       1390.5,       4385.1,         905.3,       1762.3,       2287.1,,       1089.9,       1010.7,       1651.8,       1849.9,       2134.1,       1122.3,       1948.5,       1666.5,       1079.0,       1372.0,       2073.7,       2331.5,       1087.7,       1678.1,       2329.5,         703.2,       1314.7,       1804.5
1964,       1358.7,       2016.0,       3432.3,       1222.6,       3874.3,       2570.1,       1742.0,       2403.5,       3068.2,       1644.4,       2708.1,       1872.1,       2333.4,       2047.2,       1319.9,       1858.2,       1472.8,       1614.9,       1351.0,       2170.0,       1902.2,       2928.0,       1925.5,         768.6,       2686.7,       2023.1,       1549.3,       4015.0,         943.9,       1902.7,       2510.2,,       1244.8,       1056.9,       1855.0,       2018.0,       2428.1,       1244.6,       2295.3,       1886.5,       1162.2,       1452.9,       2317.3,       2434.4,         840.6,       1945.9,       2636.6,         757.0,       1542.4,       1828.6
1965,       1392.7,       2454.5,       3355.5,       1138.4,       4037.2,       2551.8,       1764.8,       2297.6,       3020.7,       1562.9,       3183.3,       1911.3,       2223.2,       2033.4,       1358.9,       1883.2,       1480.8,       1568.1,       1372.1,       2474.3,       2022.9,       3021.3,       1924.9,         807.1,       2676.8,       2077.5,       1774.1,       3537.5,       1028.4,       1892.7,       2660.7,       2740.3,       1308.9,       1032.1,       1821.2,       1885.4,       2637.5,       1345.9,       2172.1,       1681.8,       1216.6,       1374.3,       2384.6,       2824.1,         957.9,       1971.6,       2618.3,         741.4,       1542.8,       1897.1
1966,       1528.0,       2635.3,       3933.6,       1219.9,       4244.3,       2840.7,       1907.6,       2491.8,       3378.5,       1676.5,       3419.9,       1945.0,       2394.4,       2189.8,       1599.6,       1990.2,       1606.7,       1917.0,       1377.7,       2852.6,       2160.1,       3376.2,       2130.9,         746.6,       2673.0,       2283.8,       1861.0,       3407.9,       1100.0,       2166.6,       3046.3,       2995.4,       1408.7,       1171.5,       1947.1,       2048.7,       2860.9,       1362.2,       2484.3,       1756.5,       1430.6,       1658.6,       2645.8,       3216.4,       1097.3,       2098.0,       2976.0,         846.6,       1851.8,       2132.5
1967,       1612.4,       2723.9,       4599.8,       1408.9,       4703.0,       3117.2,       2185.4,       2710.7,       3713.3,       1764.9,       3639.4,       1837.3,       2516.2,       2429.6,       1822.6,       2331.7,       1715.6,       2113.8,       1559.1,       3436.2,       2354.5,       3673.1,       2461.2,         786.4,       2846.8,       2373.2,       1979.6,       4056.3,       1086.7,       2549.1,       3038.6,       3367.2,       1574.2,       1370.4,       2333.4,       2166.1,       3307.7,       1527.9,       3007.9,       1859.6,       1469.7,       1899.2,       2883.6,       3127.8,       1201.2,       2391.0,       3582.7,         927.8,       2161.8,       2318.7
1968,       1766.6,       3145.5,       4610.8,       1741.8,       5298.2,       3599.6,       2761.1,       2924.3,       4045.4,       1940.3,       4353.2,       2047.9,       2829.8,       2718.4,       2075.2,       2573.3,       1826.4,       2192.7,       1617.5,       3956.8,       2903.9,       3743.9,       2823.1,         942.2,       3255.3,       2454.0,       2261.7,       4183.7,       1258.1,       3018.2,       3546.5,       4035.4,       1655.9,       1377.4,       2580.5,       2443.7,       3537.0,       1760.2,       3748.2,       1958.2,       1667.4,       1954.2,       3208.1,       3465.8,       1175.4,       2608.7,       3752.2,       1056.5,       2305.6,       2461.6
1969,       1876.2,       3658.9,       4885.4,       1968.5,       5637.4,       4199.4,       3078.3,       3207.6,       4279.7,       2157.4,       4446.7,       2616.0,       3020.0,       2891.2,       2183.5,       2971.2,       1987.1,       2391.8,       1866.3,       3928.0,       3290.7,       4301.7,       2934.7,         952.6,       3786.6,       2591.4,       2292.4,       4786.4,       1465.3,       2989.7,       4222.6,       3991.8,       1903.6,       1450.1,       2886.1,       2431.6,       3987.0,       1823.9,       3953.8,       2311.6,       1754.5,       1972.4,       3639.4,       3888.2,       1518.0,       2741.8,       4393.5,       1007.7,       2407.5,       2612.2
