Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated forcible rape rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1971,          19.0,          43.5,          29.9,          17.1,          36.1,          38.4,          11.9,          18.3,          24.3,          21.5,          17.5,          10.5,          21.6,          19.4,           8.9,          15.9,          14.9,          23.7,           7.4,          24.9,          12.4,          26.7,          12.1,          13.7,          26.2,          14.1,          14.0,          26.6,           8.3,          14.5,          26.2,          17.5,          14.8,           4.2,          18.4,          16.6,          22.2,          13.9,           5.6,          18.2,           9.9,          18.1,          23.6,          14.6,          11.4,          21.3,          17.7,           5.0,           7.6,          13.8
1972,          18.8,          41.8,          33.4,          17.3,          39.7,          38.4,           8.9,          14.2,          26.4,          20.8,          21.3,          15.6,          23.3,          22.5,           8.6,          17.8,          15.7,          23.0,           7.8,          26.0,          13.5,          29.3,          14.7,          17.5,          25.5,          10.8,          13.9,          34.0,           7.0,          16.9,          33.7,          22.9,          14.6,           4.9,          19.9,          19.0,          26.3,          16.0,           8.3,          22.5,          11.3,          19.9,          23.5,          18.3,          10.8,          21.7,          21.8,           8.2,           8.3,          13.9
1973,          21.2,          44.5,          31.0,          19.5,          40.6,          38.7,          11.1,          15.8,          31.9,          25.8,          20.2,          14.2,          24.0,          23.3,          11.3,          18.0,          16.3,          22.2,           7.8,          27.8,          16.3,          35.1,          14.9,          17.1,          28.2,          16.4,          16.5,          46.0,           9.5,          18.8,          33.1,          26.6,          16.1,           7.3,          21.4,          20.0,          29.3,          15.8,           8.3,          22.5,          12.8,          26.9,          25.2,          22.9,          11.2,          22.9,          26.2,           9.3,          10.8,          15.6
1974,          22.7,          49.3,          37.5,          23.9,          40.6,          36.5,          11.2,          17.3,          36.0,          27.1,          26.1,          16.0,          27.7,          23.5,          10.1,          19.7,          17.6,          25.2,           8.7,          29.8,          15.6,          37.1,          17.7,          17.4,          26.9,          12.2,          18.9,          45.2,           8.4,          19.7,          34.8,          28.9,          15.5,           7.8,          23.9,          25.0,          32.3,          17.8,           7.4,          26.2,          10.7,          25.7,          28.9,          22.3,          12.3,          25.9,          29.0,          10.0,          11.3,          15.3
1975,          20.4,          44.6,          35.5,          25.9,          41.6,          41.5,          12.4,          18.1,          35.7,          25.4,          24.7,          16.1,          25.7,          24.3,          10.3,          17.2,          15.4,          23.7,          10.4,          31.5,          19.2,          38.1,          18.6,          16.5,          25.2,          14.3,          19.2,          47.1,           8.7,          18.9,          41.0,          28.1,          16.2,           5.8,          25.3,          27.2,          32.6,          17.4,          10.9,          26.5,          16.5,          26.1,          28.0,          20.9,          14.6,          24.0,          32.7,           9.3,          10.6,          17.1
1976,          21.7,          46.9,          29.7,          24.2,          44.7,          33.8,          14.4,          17.7,          36.3,          24.9,          23.6,          18.7,          24.6,          23.2,          10.7,          21.9,          17.8,          26.8,           9.9,          32.0,          17.7,          36.1,          18.3,          16.3,          27.1,          13.5,          20.5,          47.2,           9.7,          19.9,          41.0,          25.8,          15.3,           5.6,          25.8,          27.0,          35.6,          18.1,           8.5,          31.9,          15.3,          25.4,          29.4,          20.9,          14.9,          22.2,          34.3,          10.3,          11.8,          24.9
1977,          25.2,          51.6,          34.2,          27.6,          49.4,          42.0,          16.8,          24.9,          39.6,          31.1,          25.5,          19.4,          26.1,          26.5,          10.6,          22.0,          19.1,          30.9,          13.5,          34.8,          20.8,          38.9,          19.5,          19.6,          28.3,          16.7,          18.1,          49.1,          10.7,          21.0,          39.1,          29.4,          17.0,           9.0,          27.3,          29.2,          39.9,          19.0,          10.5,          33.0,          13.5,          29.7,          33.8,          20.3,          15.9,          23.3,          39.6,          13.2,          12.9,          21.9
1978,          25.5,          55.6,          44.2,          23.1,          50.8,          49.6,          17.2,          20.4,          46.1,          37.9,          25.9,          19.2,          28.0,          27.0,          10.4,          25.0,          20.7,          34.8,          11.1,          35.6,          22.6,          39.6,          19.9,          21.8,          28.0,          15.8,          18.3,          53.9,           9.4,          23.6,          42.7,          29.1,          18.4,           8.9,          27.4,          31.0,          41.2,          18.7,          11.0,          35.4,          10.9,          30.6,          37.9,          22.9,          14.6,          22.7,          41.2,          14.7,          14.5,          23.6
1979,          27.5,          71.9,          45.7,          27.3,          53.9,          53.1,          24.1,          27.8,          51.6,          43.3,          32.3,          20.6,          33.0,          31.1,          11.0,          26.4,          20.4,          38.6,          11.9,          39.4,          24.8,          44.5,          21.5,          21.7,          33.6,          20.6,          21.5,          59.5,          17.1,          27.8,          46.9,          30.6,          20.3,           8.2,          31.8,          33.0,          44.4,          21.6,          15.2,          34.3,          16.4,          34.5,          45.1,          27.9,          22.9,          27.1,          46.4,          15.5,          16.1,          27.6
1980,          30.0,          56.8,          45.2,          26.7,          58.2,          52.5,          21.6,          24.2,          56.9,          44.3,          34.7,          22.4,          34.8,          33.1,          14.3,          31.5,          19.2,          44.5,          12.9,          40.1,          27.3,          46.6,          23.2,          24.6,          32.6,          21.0,          23.2,          67.2,          17.3,          30.7,          43.3,          30.9,          22.7,           9.5,          34.3,          36.3,          41.5,          23.0,          17.1,          37.5,          12.5,          37.4,          47.3,          27.7,          29.1,          27.4,          52.7,          15.8,          14.9,          28.6
1981,          26.1,         102.2,          38.1,          25.2,          56.2,          45.6,          21.9,          28.4,          56.1,          42.4,          34.7,          20.6,          32.4,          29.6,          13.4,          30.8,          20.9,          41.4,          12.8,          38.8,          27.4,          47.5,          25.8,          26.0,          29.7,          22.1,          20.5,          64.9,          16.5,          32.1,          47.3,          31.1,          22.7,           8.7,          31.0,          35.2,          41.7,          22.4,          17.9,          36.3,          11.5,          37.6,          46.2,          28.4,          33.0,          27.2,          50.2,          14.8,          15.7,          35.4
1982,          26.0,          85.4,          38.5,          27.1,          50.7,          44.5,          21.9,          30.9,          53.6,          39.8,          34.4,          16.6,          29.9,          27.8,          12.5,          24.8,          20.0,          39.9,          13.4,          37.4,          25.3,          46.6,          22.7,          26.5,          25.9,          14.9,          20.7,          61.5,          16.2,          28.9,          48.3,          29.2,          22.0,           9.9,          29.9,          37.1,          39.9,          20.6,          19.4,          38.8,          11.4,          35.5,          44.6,          23.7,          34.9,          24.9,          45.9,          15.5,          14.3,          27.1
1983,          23.5,         101.5,          41.9,          25.2,          48.0,          41.9,          20.0,          37.8,          48.4,          35.3,          29.4,          18.3,          31.5,          27.5,          12.6,          25.9,          22.0,          39.9,          16.8,          32.8,          25.9,          56.1,          22.4,          23.8,          26.8,          19.8,          21.2,          51.3,          19.5,          30.3,          48.0,          30.0,          21.9,          12.5,          31.5,          37.8,          40.5,          20.6,          16.8,          35.0,          17.0,          35.9,          40.3,          24.9,          40.8,          24.7,          44.7,          13.4,          18.1,          21.4
1984,          25.1,          91.6,          43.1,          29.7,          45.7,          39.0,          24.1,          48.9,          50.7,          40.4,          30.2,          18.7,          31.2,          25.0,          12.9,          27.4,          22.2,          41.8,          13.4,          37.7,          28.1,          64.8,          25.3,          27.5,          26.5,          20.6,          23.7,          60.7,          20.7,          32.5,          55.0,          31.6,          21.6,          13.1,          34.7,          39.9,          44.9,          23.2,          21.3,          40.3,          26.9,          40.0,          45.9,          20.3,          19.8,          26.7,          50.0,          15.6,          16.6,          20.9
1985,          26.8,          77.2,          45.7,          29.1,          43.3,          40.9,          24.0,          47.6,          52.8,          43.3,          29.4,          19.1,          39.3,          24.0,          12.6,          29.3,          21.6,          39.8,          14.3,          38.7,          29.8,          67.6,          29.6,          26.7,          29.2,          19.2,          23.4,          60.3,          19.1,          32.1,          49.8,          32.1,          23.8,           7.3,          36.9,          37.9,          50.7,          24.3,          26.1,          41.4,          23.7,          42.6,          51.1,          23.2,          19.3,          27.2,          54.9,          18.5,          18.3,          22.4
1986,          28.4,          72.7,          43.0,          28.9,          44.9,          42.3,          23.8,          56.9,          52.7,          43.9,          31.0,          20.0,          41.2,          25.9,          12.5,          32.9,          23.1,          40.1,          14.8,          43.6,          29.7,          67.4,          31.8,          25.8,          29.2,          17.3,          24.6,          64.9,          21.5,          33.2,          46.9,          30.5,          26.4,          11.6,          38.6,          36.4,          51.1,          25.1,          21.4,          41.3,          17.7,          47.0,          51.6,          25.3,          21.8,          26.5,          53.4,          18.9,          20.1,          21.9
1987,          27.8,          65.0,          41.2,          32.6,          43.8,          40.8,          24.9,          68.5,          50.2,          43.1,          36.3,          17.5,          38.4,          29.1,          11.9,          32.6,          21.0,          35.9,          15.7,          39.6,          31.9,          67.2,          33.9,          29.2,          28.9,          19.8,          21.6,          61.8,          26.6,          33.4,          43.1,          31.1,          29.1,           9.4,          39.9,          35.8,          45.8,          26.2,          24.4,          43.7,          20.6,          43.9,          48.1,          21.7,          22.4,          26.0,          52.2,          22.6,          19.8,          31.4
1988,          29.8,          57.7,          38.8,          32.2,          41.8,          38.6,          26.2,          74.4,          49.7,          46.4,          32.5,          17.9,          38.5,          31.0,          15.7,          31.3,          22.4,          38.5,          18.6,          37.1,          32.0,          69.5,          31.0,          36.2,          29.3,          16.8,          24.0,          73.8,          25.2,          33.7,          38.4,          30.6,          28.1,          11.2,          42.6,          37.7,          40.5,          24.9,          30.5,          42.7,          26.9,          44.7,          48.4,          23.6,          23.0,          27.1,          56.5,          18.7,          19.9,          24.0
1989,          31.0,          52.9,          36.2,          38.4,          41.2,          36.2,          27.5,          84.5,          49.7,          48.9,          44.6,          23.3,          35.7,          32.3,          16.2,          36.5,          24.6,          38.2,          18.7,          38.0,          31.8,          71.4,          31.3,          38.8,          30.8,          18.0,          23.6,          59.6,          29.5,          31.7,          45.9,          29.2,          29.9,          11.8,          44.7,          37.5,          46.6,          24.6,          26.7,          46.5,          32.0,          46.0,          46.8,          28.6,          23.1,          26.9,          61.7,          18.7,          20.4,          28.2
1990,          32.6,          72.9,          40.9,          43.3,          42.6,          46.2,          27.9,          88.1,          52.4,          53.6,          32.5,          27.3,          39.4,          37.9,          18.4,          40.4,          29.0,          42.2,          19.7,          45.7,          33.7,          77.6,          34.0,          44.1,          32.5,          24.4,          30.0,          62.2,          34.8,          29.8,          49.7,          29.8,          34.3,          17.8,          46.8,          47.0,          46.9,          25.8,          24.7,          53.7,          34.3,          49.5,          51.5,          37.8,          25.9,          31.0,          64.0,          23.6,          20.7,          29.5
1991,          35.6,          91.8,          42.4,          44.6,          42.4,          47.0,          29.2,          86.5,          51.7,          42.3,          33.0,          28.9,          40.0,          41.3,          20.9,          44.8,          35.4,          40.9,          21.9,          45.9,          32.1,          78.7,          39.8,          46.3,          34.0,          19.8,          28.1,          66.0,          29.9,          29.1,          52.4,          28.2,          34.6,          18.3,          52.5,          50.9,          53.4,          28.7,          30.9,          58.9,          39.7,          46.4,          53.4,          45.6,          30.5,          29.9,          70.3,          23.0,          25.4,          25.9
1992,          41.2,          98.6,          43.0,          41.3,          41.3,          47.3,          26.9,          85.8,          54.2,          45.3,          37.9,          31.8,          37.1,          42.4,          18.8,          41.3,          32.2,          42.3,          23.8,          46.4,          36.1,          80.0,          41.1,          44.6,          36.5,          25.5,          31.4,          62.8,          38.2,          30.7,          62.6,          28.4,          35.9,          23.3,          52.1,          48.4,          53.1,          27.7,          30.9,          57.5,          51.8,          47.3,          53.4,          45.4,          24.9,          31.5,          72.0,          21.7,          26.3,          35.0
