Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated motor vehicle theft rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1971,         221.2,         522.7,         450.8,         123.1,         713.9,         564.8,         539.1,         584.8,         392.7,         301.8,         567.3,         166.5,         475.8,         402.7,         153.3,         243.8,         332.3,         401.7,         147.8,         526.8,         984.9,         497.9,         343.1,          99.4,         502.2,         222.0,         254.6,         606.3,         184.0,         580.1,         458.7,         694.1,         166.1,          86.7,         496.4,         282.3,         361.0,         368.2,         979.4,         219.6,          83.3,         303.5,         379.4,         328.3,         139.1,         310.5,         344.3,         110.8,         240.6,         181.8
1972,         195.0,         498.2,         429.8,         114.2,         681.3,         589.3,         469.1,         491.2,         366.1,         306.7,         398.4,         183.9,         443.0,         365.5,         169.1,         232.0,         281.8,         356.4,         162.4,         534.2,         972.4,         473.9,         337.3,         120.5,         470.5,         247.0,         261.6,         563.4,         124.8,         586.2,         379.6,         572.1,         165.2,          90.7,         442.6,         268.4,         386.6,         338.5,         896.2,         222.4,         107.4,         300.9,         338.6,         277.7,         114.1,         281.4,         331.3,         109.7,         232.7,         203.8
1973,         227.2,         526.1,         545.6,         144.9,         635.9,         572.5,         516.7,         486.8,         449.9,         358.4,         436.9,         207.0,         507.7,         389.9,         190.7,         210.5,         226.2,         324.9,         179.8,         547.8,       1109.6,         548.3,         336.7,         113.8,         445.4,         230.5,         302.7,         611.1,         189.0,         572.7,         344.9,         615.0,         173.8,         131.4,         376.9,         311.1,         408.2,         365.3,         894.3,         246.0,         144.2,         330.1,         357.0,         301.2,         136.2,         283.0,         375.7,         107.1,         228.9,         214.4
1974,         260.6,         647.8,         602.3,         163.9,         638.8,         538.6,         549.9,         528.8,         482.9,         347.1,         586.1,         214.0,         531.4,         393.0,         219.1,         238.6,         228.8,         341.7,         197.7,         583.3,       1365.6,         624.7,         373.7,         124.1,         427.1,         283.0,         277.5,         606.1,         259.0,         546.7,         306.1,         574.8,         188.3,         132.3,         402.4,         361.7,         468.7,         375.7,         923.1,         282.4,         157.5,         346.7,         382.1,         329.8,         173.6,         280.8,         405.5,         126.9,         246.1,         214.5
1975,         270.3,         919.9,         516.1,         167.8,         628.2,         467.2,         572.4,         523.0,         442.6,         337.7,         523.7,         223.0,         593.5,         388.3,         229.7,         236.4,         263.4,         338.5,         210.8,         516.9,       1571.1,         649.9,         382.5,         129.3,         466.7,         309.4,         231.0,         510.0,         258.1,         537.7,         317.2,         641.7,         186.0,         130.6,         426.4,         348.0,         466.2,         367.0,       1016.8,         259.6,         167.9,         364.7,         387.2,         320.5,         173.9,         269.2,         385.4,         126.4,         239.9,         277.5
1976,         262.3,         805.8,         421.8,         151.4,         644.3,         442.0,         561.8,         484.4,         339.7,         319.7,         542.1,         230.2,         579.3,         372.4,         206.9,         232.3,         246.8,         300.6,         213.7,         428.9,       1312.7,         613.1,         347.1,         122.2,         386.6,         307.8,         233.5,         505.2,         252.3,         510.7,         329.5,         738.2,         178.3,         159.4,         378.1,         306.4,         394.8,         348.2,         885.5,         250.9,         149.6,         325.9,         351.3,         317.3,         198.1,         226.1,         348.7,         135.9,         222.8,         242.1
1977,         280.7,         753.3,         439.5,         183.4,         663.5,         477.1,         593.2,         467.0,         351.4,         297.9,         489.4,         237.6,         611.7,         377.4,         219.9,         244.3,         245.4,         337.7,         246.9,         428.5,       1140.1,         545.5,         343.1,         144.4,         378.4,         309.2,         249.1,         559.2,         293.4,         511.5,         259.5,         745.8,         192.1,         144.7,         400.4,         326.8,         388.9,         333.2,         791.4,         245.1,         147.5,         314.0,         397.6,         334.5,         265.2,         226.7,         360.3,         163.3,         220.7,         282.0
1978,         302.5,         661.5,         464.4,         199.6,         691.3,         487.9,         654.9,         496.9,         388.6,         356.5,         570.8,         243.7,         622.5,         411.1,         235.1,         247.7,         250.6,         361.6,         253.3,         424.8,       1095.6,         525.9,         324.7,         151.8,         368.8,         307.1,         216.8,         601.7,         305.6,         560.6,         313.8,         672.0,         201.3,         148.2,         402.0,         351.4,         394.8,         340.7,         807.2,         276.1,         160.0,         328.1,         444.3,         333.9,         214.2,         229.0,         394.9,         175.8,         229.5,         342.5
1979,         320.1,         616.0,         493.3,         193.8,         738.3,         481.4,         703.2,         495.2,         432.3,         416.3,         715.4,         271.8,         676.0,         433.0,         269.7,         273.5,         256.2,         407.9,         237.9,         487.6,       1144.9,         602.1,         329.2,         166.8,         410.6,         311.3,         272.9,         704.4,         324.9,         696.2,         357.2,         704.5,         223.4,         162.4,         438.9,         427.2,         386.2,         389.4,         793.0,         296.2,         174.0,         367.4,         544.2,         335.6,         337.1,         246.8,         434.5,         202.3,         266.7,         363.3
1980,         316.2,         561.0,         473.3,         187.1,         742.9,         448.3,         678.9,         455.1,         477.5,         372.4,         612.1,         236.9,         649.0,         432.2,         247.8,         271.7,         250.7,         376.5,         219.1,         450.5,       1051.6,         584.9,         295.9,         178.4,         414.6,         321.7,         243.6,         678.4,         309.9,         729.5,         350.6,         759.9,         216.1,         179.2,         426.7,         420.2,         360.3,         418.3,         843.6,         306.0,         168.6,         363.1,         558.1,         323.6,         294.9,         227.9,         395.6,         199.7,         245.2,         345.2
